x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	ymin	ymax
10.34	11.6	12.42	13.58	14.53	20.53	23.21	24.39	25.71	25.81	917.039	879.899	845.414	785.225	727.933	312.439	171.592	133.308	113.373	112.971	112.667	931.5
10.4	10.45	10.45	10.66	10.9	11.39	11.77	12.09	12.65	12.69	503.915	503.96	503.96	504.096	504.161	504.11	504.022	504.004	504.303	504.348	504	504.167
12.15	12.89	13.41	13.56	14.25	15.48	18.65	19.18	19.79	20.93	1151.91	1149.07	1144.98	1143.53	1135.55	1117.61	1073.14	1069.17	1066.84	1070.39	1066.67	1152
6.28	6.4	6.96	7.44	7.47	8.02	8.13	8.4	9.24	9.91	125.89	125.781	124.913	123.885	123.817	122.627	122.416	121.968	121.591	122.993	121.5	126
13.69	15.25	17.45	19	19.84	25.34	25.56	26.6	26.71	28.09	1178.7	1021.35	782.596	612.833	523.369	73.3534	63.0039	24.9987	22.0908	5.41863	5.33333	1548.83
23.61	23.61	24.41	24.56	24.66	25.17	26.73	27.88	28.12	28.88	5759.68	5759.68	5759.69	5759.43	5759.22	5757.8	5751.88	5749.36	5749.36	5751.11	5749.33	5760
5.38	5.4	5.51	5.66	6.82	7.72	8.47	8.54	8.59	8.71	107.536	107.568	107.721	107.871	107.511	106.738	106.922	107.011	107.083	107.29	106.667	108
18.61	20.75	20.96	21.05	21.2	21.34	21.45	21.58	24.7	24.74	3188.43	3182.96	3181.74	3181.2	3180.28	3179.42	3178.73	3177.92	3169.34	3169.5	3168	3188.83
12.59	13.27	13.45	14.3	20.83	23.27	25.65	26.12	26.43	30	1497.83	1433.06	1415.15	1326.82	561.125	307.118	119.582	91.9424	75.6624	20	8.66667	1783.33
3.61	9.61	11.46	12.4	15.24	16.53	18.91	21.32	26.36	27.37	2311.49	1994.52	1783.9	1664.18	1270.63	1085.06	750.507	445.443	40.1382	14.0128	9.33333	2313.33
23.77	23.85	23.9	24.71	26.08	27.87	28	28.02	29	29.13	6047.86	6047.94	6047.97	6046.86	6040.18	6029.88	6029.33	6029.25	6027.17	6027.21	6027.17	6048
